0,1,2,3,4,5,6,7
0.9582,0.2743,0.4073,0.3967,1.8169,2.5795,4.8392,745.231
0.9442,0.2716,0.4066,0.3948,1.8148,2.5773,4.837,772.037
1.1156,0.2788,0.4091,0.3998,2.1538,2.8844,5.0499,699.436
1.1566,0.2788,0.4091,0.3976,2.3025,3.0197,5.1453,733.759
1.1216,0.2777,0.4084,0.3956,2.051,2.7919,4.9871,761.642
1.0448,0.2755,0.4075,0.3939,1.8828,2.6391,4.8803,784.742
0.9474,0.2731,0.4069,0.3926,1.6346,2.4135,4.7219,804.068
0.845,0.2702,0.4061,0.3915,1.4608,2.2552,4.6099,818.995
0.7452,0.2702,0.4061,0.3915,0.7972,1.6521,4.1869,831.35
0.5803,0.2788,0.4091,0.3915,0.5859,1.4597,4.0507,831.35
1.0205,0.2775,0.4083,0.4033,1.5396,2.3255,4.6556,639.806
1.187,0.2777,0.4085,0.3999,1.8388,2.5979,4.848,695.293
1.2108,0.2768,0.4082,0.3975,1.8742,2.6305,4.8722,734.313
1.1617,0.2775,0.409,0.3956,1.7942,2.5581,4.8221,762.581
1.0772,0.2785,0.409,0.3941,1.8426,2.602,4.8526,784.193
0.9775,0.2767,0.4086,0.3928,2.0168,2.7599,4.9623,801.446
0.8726,0.2752,0.4082,0.3917,1.4182,2.2163,4.5821,816.576
0.8903,0.2789,0.4091,0.3934,0.8212,1.674,4.2024,766.202
0.6933,0.278,0.4086,0.3932,-0.0265,0.9054,3.6679,766.202
0.54,0.2777,0.4085,0.393,-1.3758,-0.3179,2.8177,766.202
0.4205,0.2768,0.4079,0.3928,-2.0902,-0.9655,2.3678,766.202
0.3275,0.276,0.4075,0.3926,-2.5555,-1.3874,2.0744,766.202
0.2551,0.2762,0.409,0.3925,-2.696,-1.5148,1.9854,766.202
0.1986,0.2787,0.409,0.3923,-2.0366,-0.9167,2.4021,766.202
0.1547,0.2786,0.4089,0.3922,-1.4191,-0.3561,2.7937,766.202
