0,1,2,3,4,5,6,7
0.0,0.3276,0.414,0.3753,2.4913,3.2043,5.1861,1172.698
0.0,0.3253,0.4128,0.3751,2.523,3.0114,4.537,1173.188
0.0,0.3335,0.417,0.3846,4.8166,4.8789,5.2538,1173.677
0.0,0.3334,0.417,0.3846,4.7872,4.9551,5.4912,1174.149
0.0,0.3318,0.4162,0.3844,2.4587,3.01,4.562,1174.621
0.0,0.329,0.4147,0.3841,1.9551,2.4535,3.9685,1175.105
0.0,0.3267,0.4135,0.3839,1.5009,1.9973,3.5122,1175.597
0.0,0.3242,0.4122,0.3836,1.5393,1.9695,3.3145,1176.082
0.0,0.3242,0.4122,0.3836,-2.6278,-1.5728,1.3889,1176.082
0.0,0.3334,0.417,0.4227,2.3154,2.3668,2.7513,1177.038
0.0,0.3312,0.4159,0.4485,7.3609,6.7132,5.3518,1177.508
0.0,0.3316,0.4161,0.4522,8.414,7.9966,6.8696,1177.995
0.0,0.3305,0.4155,0.4521,5.8148,6.0141,6.428,1178.479
0.0,0.3301,0.4153,0.4521,3.506,4.0096,5.3237,1178.953
0.0,0.3297,0.4152,0.4521,3.2774,3.6716,4.8099,1179.422
0.0,0.328,0.4144,0.4519,3.9177,4.1489,4.8772,1179.89
0.0,0.3267,0.4137,0.4518,0.7953,1.5517,3.5575,1180.368
0.0,0.3267,0.4137,0.4518,-1.4254,-0.5008,2.0489,1180.368
0.0,0.3319,0.4163,0.4528,1.5931,1.8284,2.6878,1181.308
0.0,0.3328,0.417,0.453,0.0646,0.5918,2.2096,1181.308
0.0,0.3316,0.4163,0.4528,0.5536,0.9622,2.2094,1182.252
0.0,0.3303,0.4156,0.4527,0.8903,1.2446,2.3216,1182.726
0.0,0.3303,0.4156,0.4527,1.4688,1.7406,2.591,1183.199
0.0,0.3337,0.4171,0.453,2.6749,2.7847,3.2039,1167.088
0.0,0.3337,0.4171,0.453,3.2265,3.331,3.6907,1152.442
0.0,0.3337,0.4171,0.453,3.3743,3.5192,3.9669,1150.914
0.0,0.333,0.4168,0.4529,3.233,3.4381,4.0405,1151.405
0.0,0.3317,0.4162,0.4528,3.2705,3.4804,4.1081,1151.9
0.0,0.3306,0.4156,0.4527,3.3856,3.5891,4.203,1152.4
0.0,0.3283,0.4143,0.4524,3.3736,3.5949,4.2517,1152.898
0.0,0.3275,0.4139,0.4523,3.4077,3.6321,4.2995,1153.405
0.0,0.3249,0.4125,0.4521,3.4317,3.6608,4.3409,1153.899
0.0,0.3241,0.412,0.452,3.6497,3.8509,4.4614,1154.408
0.0,0.3263,0.4137,0.4523,4.661,4.7153,4.9527,1098.727
0.0,0.3263,0.4137,0.4523,7.1174,6.8418,6.2176,1099.318
0.0,0.3225,0.4117,0.4519,6.2674,6.313,6.4003,1099.852
0.0,0.3199,0.4103,0.4516,3.7783,4.2503,5.4556,1100.413
0.0,0.3163,0.4083,0.4513,1.0832,1.8653,3.9497,1100.967
0.0,0.3151,0.4077,0.4511,-0.9606,-0.0468,2.4578,1100.967
0.0,0.3139,0.407,0.451,-1.412,-0.6268,1.6132,1100.967
0.0,0.3139,0.407,0.451,1.621,1.8053,2.5036,1102.608
0.0,0.3115,0.4147,0.4507,2.0381,2.2226,2.9577,1103.14
0.0,0.319,0.4143,0.4506,2.3379,2.5674,3.2685,1103.693
0.0,0.3169,0.4131,0.4504,2.6651,2.8773,3.5289,1104.23
0.0,0.315,0.412,0.4502,2.4502,2.7324,3.5474,1104.777
0.0,0.3142,0.4116,0.4501,1.841,2.2245,3.3023,1105.319
0.0,0.3142,0.4116,0.4501,2.5391,2.7723,3.5038,1105.855
0.0,0.3129,0.4109,0.4499,2.9723,3.1669,3.7716,1106.383
0.0,0.3284,0.4102,0.4498,3.8185,3.9109,4.2472,1106.922
0.0,0.3324,0.4164,0.4528,4.0153,4.1419,4.5374,1096.935
0.0,0.3315,0.416,0.4527,3.5506,3.7916,4.476,1097.482
0.0,0.3292,0.4149,0.4525,2.8646,3.2086,4.1772,1098.026
0.0,0.3274,0.4139,0.4523,2.7562,3.0783,4.0206,1098.577
0.0,0.3231,0.4115,0.4518,3.4917,3.6758,4.2735,1099.125
0.0,0.3335,0.4171,0.453,4.2571,4.3552,4.7048,978.622
0.0,0.333,0.4168,0.4529,3.9708,4.1756,4.7682,934.893
0.0,0.3329,0.4168,0.4529,2.2847,2.771,4.0899,936.677
0.0,0.3303,0.4156,0.4527,0.0178,0.7768,2.8528,936.677
0.0,0.3278,0.4143,0.4524,-2.6715,-1.6438,1.1858,936.677
0.0,0.3259,0.4132,0.4522,-3.7542,-2.739,0.0187,936.677
0.0,0.3212,0.4107,0.4517,-3.7994,-2.9086,-0.5355,936.677
0.0,0.3204,0.4103,0.4517,-0.5688,-0.2379,0.7142,936.677
0.2434,0.3326,0.4167,0.4529,2.6567,2.4613,2.0956,830.308
0.3336,0.3252,0.4129,0.4522,3.5933,3.4337,3.2519,854.926
0.3481,0.3246,0.4126,0.4522,3.3416,3.3403,3.6246,870.627
0.3492,0.3239,0.4167,0.4529,4.4586,4.3209,4.2961,873.688
0.3864,0.328,0.4141,0.4524,3.2201,3.4703,4.1316,863.078
0.3715,0.3204,0.4099,0.4516,3.1383,3.3764,4.0724,875.995
0.3321,0.3197,0.4096,0.4516,5.9935,5.7617,5.293,884.921
0.4253,0.3303,0.4155,0.4526,9.0234,8.4761,7.1109,848.978
0.4331,0.326,0.4132,0.4522,8.6311,8.4091,7.745,866.641
1.4146,0.3332,0.4169,0.4616,7.2741,7.3566,7.5064,691.511
1.6912,0.3332,0.4168,0.4566,8.7272,8.5411,8.0974,763.02
1.6885,0.329,0.415,0.453,6.8613,7.081,7.6016,802.834
1.5476,0.328,0.4146,0.4529,4.3173,4.8832,6.3615,832.81
1.3437,0.3208,0.4107,0.4521,3.5432,4.0665,5.5412,856.436
1.1315,0.3185,0.4094,0.4519,3.6369,4.0423,5.2311,871.61
1.7813,0.333,0.4168,0.46,3.3602,3.7723,4.9566,715.463
2.275,0.333,0.4168,0.4599,4.0956,4.3426,5.1235,717.213
2.5056,0.3291,0.4151,0.458,6.4658,6.3465,6.1727,739.871
2.3764,0.3215,0.411,0.4535,7.1112,7.0345,6.8695,792.361
2.1046,0.3204,0.4104,0.4528,3.8297,4.3849,5.7797,827.902
1.9569,0.3197,0.41,0.4528,0.9784,1.8394,4.1401,813.879
1.667,0.3192,0.4069,0.4522,1.7158,2.2282,3.7657,855.192
1.386,0.3114,0.4027,0.4514,2.4515,2.802,3.8798,870.805
1.1331,0.3183,0.4024,0.4514,5.2621,5.1618,5.0778,881.334
0.9147,0.3213,0.4001,0.451,7.9361,7.5634,6.6844,888.459
1.0079,0.3301,0.4155,0.4526,9.2111,8.8496,7.9025,818.646
1.4641,0.3279,0.4142,0.4571,13.2076,12.3581,10.1545,748.4
1.5318,0.3125,0.4059,0.4521,12.7785,12.3217,10.972,798.835
1.4234,0.3125,0.4059,0.4522,5.5292,6.3807,8.3354,833.337
1.2459,0.3045,0.4015,0.4513,4.816,5.4033,7.0274,856.725
