0,1,2,3,4,5,6,7
1.284,0.2772,0.4032,0.3894,2.8126,3.4725,4.9824,788.094
1.1484,0.2747,0.4021,0.3879,2.6484,3.1186,4.3147,812.528
1.203,0.2825,0.4055,0.3907,4.6563,4.7051,4.9563,767.138
1.1377,0.2825,0.4054,0.3891,4.6842,4.8239,5.1984,795.817
1.0253,0.2811,0.4047,0.3877,2.5968,3.1161,4.3418,815.741
0.8973,0.2785,0.4036,0.3875,2.0174,2.5085,3.7465,831.885
0.7761,0.2762,0.4028,0.3873,1.5312,2.0253,3.2773,845.712
0.6648,0.2734,0.4016,0.3871,1.5126,1.9435,3.0588,856.849
0.5178,0.2734,0.4016,0.3871,-2.6947,-1.5815,1.0315,856.849
0.9628,0.2825,0.4054,0.3932,2.1424,2.1731,2.4234,715.368
1.7572,0.2807,0.4045,0.3955,6.982,6.3125,5.0545,646.223
2.0315,0.281,0.4047,0.3938,8.2925,7.816,6.6947,697.501
1.9126,0.28,0.4043,0.391,6.0784,6.198,6.3828,761.964
1.6944,0.2804,0.4054,0.3892,3.7696,4.2322,5.2842,794.619
1.4607,0.2818,0.4054,0.3879,3.4092,3.7862,4.7362,815.064
1.2408,0.28,0.4048,0.3876,3.895,4.1243,4.7518,829.441
1.0469,0.2785,0.4043,0.3875,1.0318,1.7523,3.4496,843.554
0.8153,0.2785,0.4043,0.3875,-1.2792,-0.3582,1.8805,843.554
0.6989,0.2812,0.4048,0.3876,1.528,1.7622,2.5124,854.523
0.5443,0.2824,0.4054,0.3877,0.1539,0.6626,2.0469,854.523
0.5099,0.2813,0.4049,0.3876,0.5671,0.9677,2.0423,840.02
0.4645,0.2801,0.4044,0.3875,0.8643,1.2124,2.1433,852.206
0.4144,0.2801,0.4044,0.3875,1.3825,1.6526,2.3934,862.101
0.4503,0.2826,0.4055,0.3877,2.5115,2.6224,2.9888,819.972
0.5254,0.2826,0.4055,0.3886,3.0305,3.1359,3.4526,803.847
0.5441,0.2826,0.4055,0.3878,3.1972,3.3369,3.7188,817.28
