0,1,2,3,4,5,6,7
0.3566,0.2814,0.414,0.4291,2.736,3.3413,4.7832,460.723
0.2777,0.2731,0.4113,0.4285,2.9627,3.3881,4.4962,466.271
0.2163,0.2623,0.404,0.4279,3.2481,3.589,4.4819,479.234
0.1684,0.2622,0.4038,0.4287,5.3981,5.3546,5.3913,478.764
0.1312,0.2645,0.4019,0.4287,7.6662,7.3551,6.7343,475.965
0.1753,0.2814,0.4216,0.429,8.9304,8.5937,7.8423,447.315
0.5394,0.2794,0.4204,0.4287,12.7184,11.8847,9.9966,431.655
0.4201,0.2573,0.4107,0.4276,12.5212,12.0501,10.8423,463.694
0.3272,0.2573,0.4107,0.4279,5.5548,6.4485,8.2296,492.346
0.2548,0.2472,0.4026,0.4266,4.8842,5.4952,6.9538,493.733
0.1984,0.2341,0.3918,0.4244,4.7514,5.2285,6.3898,509.284
0.1545,0.2258,0.3854,0.423,5.3901,5.678,6.4145,529.166
0.1204,0.2134,0.3758,0.4208,6.5342,6.6162,6.8889,540.869
0.0937,0.2126,0.375,0.4208,9.8863,9.4061,8.5053,557.169
0.073,0.2115,0.3742,0.4228,8.3306,8.4053,8.4997,539.85
0.0569,0.2834,0.4007,0.4242,8.8685,8.8258,8.7599,483.107
0.0443,0.282,0.4219,0.4248,11.0947,10.7121,9.8727,471.326
0.0345,0.2635,0.4166,0.4238,11.7812,11.4516,10.6545,477.658
0.0269,0.2563,0.4108,0.4231,10.3603,10.3943,10.3915,500.514
0.0209,0.2476,0.4037,0.422,8.6109,8.9185,9.571,510.607
0.0163,0.245,0.4023,0.4232,8.0798,8.3678,9.0394,514.05
0.0127,0.2408,0.3985,0.4231,9.2937,9.2898,9.3568,517.402
0.0099,0.233,0.3919,0.4218,8.429,8.6393,9.1033,524.334
0.0077,0.2317,0.3907,0.4219,5.1795,5.947,7.5914,536.027
0.006,0.223,0.3831,0.4202,4.3458,5.0272,6.6039,538.162
0.0047,0.2214,0.3818,0.4218,3.7596,4.4098,5.9126,540.137
0.0036,0.2103,0.3723,0.42,3.7254,4.272,5.5607,542.965
0.0028,0.2006,0.3642,0.4179,4.2266,4.625,5.5807,562.159
0.0022,0.1913,0.3569,0.4161,5.1405,5.3645,5.9342,577.224
0.0017,0.1897,0.3554,0.418,6.2954,6.3468,6.5388,579.224
0.0013,0.1827,0.3496,0.4164,5.7751,6.0231,6.5493,582.907
0.001,0.1791,0.3469,0.4184,6.4734,6.5783,6.8507,578.8
0.0008,0.1698,0.3397,0.4163,7.0489,7.091,7.2216,586.123
0.0006,0.1673,0.3375,0.4183,7.9725,7.8888,7.7735,593.713
0.0005,0.1704,0.3366,0.4206,9.1673,8.932,8.5205,573.409
0.0004,0.1689,0.3354,0.4221,8.0071,8.1439,8.3717,573.807
0.0003,0.1961,0.3351,0.4241,8.5032,8.5099,8.5516,554.089
0.0002,0.2034,0.3349,0.4256,12.6011,11.8403,10.3921,546.956
0.0002,0.2039,0.3333,0.4267,12.0564,11.7213,10.9533,541.887
0.0001,0.1941,0.3267,0.4249,11.074,11.0142,10.8257,550.52
0.0001,0.1839,0.3198,0.4226,11.1845,11.0877,10.8786,570.232
0.0001,0.181,0.3179,0.4244,14.2209,13.5329,12.2237,581.814
0.0001,0.1775,0.3154,0.4238,14.239,13.7844,12.8273,585.835
0.0001,0.1685,0.3095,0.4219,13.6264,13.3956,12.8764,592.131
0.0,0.1608,0.3042,0.42,12.1903,12.2696,12.3522,605.498
0.0,0.1527,0.2987,0.4181,11.4165,11.5776,11.8542,617.523
0.0,0.1431,0.2924,0.4159,11.5018,11.5691,11.7015,629.621
0.0,0.1389,0.2894,0.4147,10.1381,10.4898,11.0826,643.437
0.0,0.1383,0.2888,0.4173,8.4244,9.0497,10.1185,637.588
0.0,0.1376,0.288,0.418,8.598,9.0054,9.7611,635.807
