0,1,2,3,4,5,6,7
0.3062,0.2865,0.422,0.3951,1.5911,2.2827,4.3793,498.662
0.2385,0.284,0.4214,0.3949,1.6022,2.2939,4.3905,504.63
0.1857,0.2904,0.4238,0.3954,1.9609,2.6237,4.6323,493.92
0.1446,0.2904,0.4238,0.3954,2.1228,2.7732,4.7438,494.954
0.1126,0.2893,0.4232,0.3953,1.8741,2.5459,4.5807,496.52
0.0877,0.2875,0.4223,0.3951,1.71,2.3958,4.4729,500.409
0.0683,0.2857,0.4217,0.395,1.4633,2.1697,4.3089,506.647
0.0532,0.283,0.421,0.3948,1.2922,2.0126,4.1944,512.073
0.0414,0.283,0.421,0.3948,0.6198,1.3953,3.7441,517.924
0.0323,0.2904,0.4238,0.3954,0.4101,1.2026,3.6031,517.924
0.4836,0.2891,0.4231,0.3953,1.3916,2.1038,4.2607,428.837
0.3767,0.2893,0.4232,0.3953,1.7027,2.3912,4.4753,441.058
0.2933,0.2887,0.423,0.3953,1.7432,2.4302,4.5087,446.9
0.2285,0.2885,0.4229,0.3952,1.6654,2.3602,4.4618,450.995
0.1779,0.2883,0.4236,0.3954,1.7184,2.4098,4.5006,451.99
0.1386,0.2869,0.4231,0.3953,1.8995,2.5765,4.6234,454.178
0.1079,0.2856,0.4228,0.3953,1.2903,2.0186,4.2204,459.274
0.5372,0.2905,0.4239,0.3955,0.6832,1.4624,3.8178,429.144
0.4184,0.2895,0.4233,0.3953,-0.1795,0.6731,3.2496,429.144
0.3258,0.2893,0.4232,0.3953,-1.5552,-0.5864,2.3405,429.144
0.2538,0.2884,0.4227,0.3952,-2.2809,-1.2508,1.861,429.144
0.1976,0.2875,0.4222,0.3951,-2.7517,-1.6821,1.549,429.144
0.1539,0.2875,0.4222,0.3951,-2.8907,-1.8097,1.4561,429.144
0.1199,0.2905,0.4239,0.3955,-2.2784,-1.2488,1.8618,429.144
0.0934,0.2905,0.4239,0.3955,-1.7011,-0.7197,2.2453,429.144
0.0727,0.2904,0.4238,0.3954,-1.434,-0.4746,2.4237,429.144
0.0566,0.2899,0.4235,0.3954,-1.3218,-0.3716,2.4989,429.144
0.0441,0.2886,0.4228,0.3952,-1.1847,-0.246,2.5897,429.144
0.0343,0.2877,0.4223,0.3951,-1.0697,-0.1409,2.665,429.144
0.0267,0.286,0.4214,0.3949,-1.0194,-0.0953,2.6967,429.144
0.0208,0.2853,0.4211,0.3949,-0.9744,-0.0547,2.7241,429.144
0.0162,0.2827,0.4199,0.3946,-0.8875,0.0241,2.7792,429.144
0.0126,0.2813,0.4194,0.3945,-0.6816,0.2119,2.9127,429.144
0.0098,0.2728,0.417,0.394,-0.1052,0.7396,3.2932,429.144
0.0077,0.2728,0.417,0.3954,0.3418,1.1481,3.5862,429.144
0.006,0.2676,0.4145,0.3952,0.6425,1.4228,3.7829,501.232
0.0046,0.2644,0.4123,0.395,0.4941,1.2855,3.6795,501.232
0.0036,0.2599,0.4087,0.3948,0.1364,0.9559,3.4361,501.232
0.0028,0.2584,0.4071,0.3947,-0.3485,0.5096,3.1071,501.232
0.0022,0.2605,0.4228,0.3954,-0.5519,0.3217,2.9667,501.232
0.0017,0.2905,0.4239,0.3955,-0.5816,0.2938,2.9447,501.232
0.0013,0.2889,0.423,0.3953,-0.4605,0.4058,3.0289,501.232
0.001,0.2868,0.4224,0.3951,-0.5043,0.3665,3.0026,501.232
0.0008,0.283,0.4215,0.3949,-0.5612,0.3147,2.9661,501.232
0.0006,0.2792,0.4209,0.3948,-1.1779,-0.251,2.5547,501.232
