0,1,2,3,4,5,6,7
0.0,0.3278,0.4145,0.3802,1.5544,2.2183,4.2458,737.966
0.0,0.3251,0.4132,0.38,1.5687,2.2332,4.2615,741.743
0.0,0.3335,0.417,0.3896,1.9108,2.5494,4.4982,714.397
0.0,0.3335,0.417,0.3898,2.0693,2.6973,4.6129,714.161
0.0,0.332,0.4162,0.3896,1.8401,2.4881,4.4638,714.736
0.0,0.3293,0.4149,0.3893,1.6888,2.3501,4.3658,717.027
0.0,0.3267,0.414,0.3891,1.4586,2.1391,4.213,721.057
0.0,0.3238,0.4127,0.3889,1.2984,1.9922,4.1064,724.5
0.0,0.3238,0.4127,0.3889,0.662,1.4068,3.676,728.265
0.0,0.3236,0.4126,0.3889,0.4588,1.2201,3.5391,728.265
0.0,0.3316,0.416,0.4191,1.3806,2.0691,4.1663,652.068
0.0,0.3319,0.4162,0.4192,1.6758,2.3434,4.3754,652.151
0.0,0.3308,0.4157,0.4191,1.7176,2.3841,4.412,655.302
0.0,0.3305,0.4156,0.4191,1.6471,2.3213,4.3713,657.063
0.0,0.3303,0.4155,0.4191,1.7001,2.3714,4.4121,657.23
0.0,0.3286,0.4148,0.4189,1.8744,2.5327,4.5334,657.562
0.0,0.3272,0.4142,0.4188,1.3028,2.0084,4.1523,659.998
0.0,0.3272,0.4142,0.4188,0.7287,1.4815,3.7684,662.04
0.0,0.3255,0.4134,0.4186,-0.0921,0.7278,3.2182,662.04
0.0,0.3251,0.4132,0.4186,-1.3997,-0.472,2.3447,662.04
0.0,0.3237,0.4125,0.4184,-2.1005,-1.1149,1.8773,662.04
0.0,0.3224,0.4118,0.4183,-2.5634,-1.5396,1.5682,662.04
0.0,0.322,0.4116,0.4183,-2.7131,-1.6769,1.4685,662.04
0.0,0.3217,0.4114,0.4182,-2.0905,-1.1048,1.8872,662.04
0.0,0.3211,0.4111,0.4182,-1.5033,-0.5648,2.2837,662.04
0.0,0.3209,0.411,0.4181,-1.2715,-0.351,2.4422,662.04
0.0,0.3201,0.4106,0.418,-1.1821,-0.2683,2.5044,662.04
0.0,0.3182,0.4096,0.4178,-1.0669,-0.1621,2.5832,662.04
0.0,0.3168,0.4089,0.4177,-0.9702,-0.0731,2.6486,662.04
0.0,0.3143,0.4075,0.4174,-0.9327,-0.0387,2.6737,662.04
0.0,0.3133,0.4071,0.4173,-0.8987,-0.0077,2.6956,662.04
0.0,0.3103,0.4054,0.417,-0.8236,0.0609,2.7449,662.04
0.0,0.3087,0.4046,0.4168,-0.6348,0.2338,2.8698,662.04
0.0,0.3021,0.4011,0.4161,-0.0926,0.7315,3.2324,662.04
0.0,0.3021,0.4011,0.4161,0.3287,1.1176,3.5124,662.04
0.3782,0.3076,0.3996,0.4157,0.6179,1.3827,3.7045,671.648
0.2946,0.3048,0.3982,0.4155,0.4818,1.2565,3.6089,671.648
0.2294,0.3009,0.3957,0.4152,0.1465,0.9471,3.379,671.648
0.1787,0.2996,0.3948,0.415,-0.3105,0.5258,3.0667,671.648
0.1391,0.2984,0.394,0.4149,-0.5054,0.3456,2.9316,671.648
0.1084,0.2984,0.394,0.4149,-0.5382,0.3145,2.9064,671.648
0.0844,0.2961,0.3928,0.4146,-0.4297,0.4136,2.9772,671.648
0.0657,0.2952,0.3924,0.4145,-0.5637,0.2897,2.8842,671.648
0.0512,0.2931,0.3914,0.4143,-0.6756,0.1871,2.8095,671.648
0.0399,0.2911,0.3906,0.4142,-1.4212,-0.4984,2.3067,671.648
0.031,0.2903,0.3902,0.4141,-2.4407,-1.436,1.6182,671.648
0.0242,0.2903,0.3902,0.4141,-2.8454,-1.8084,1.3444,671.648
0.0188,0.289,0.3895,0.414,-2.6917,-1.6665,1.4501,671.648
0.0147,0.2875,0.3888,0.4138,-2.1483,-1.1666,1.8176,671.648
0.0114,0.2854,0.3877,0.4136,-1.9126,-0.949,1.9797,671.648
0.0089,0.284,0.387,0.4134,-1.9775,-1.0081,1.938,671.648
0.0069,0.2816,0.3858,0.4132,-2.3807,-1.3785,1.6673,671.648
0.0054,0.2795,0.3847,0.4129,-2.6807,-1.6544,1.4647,671.648
0.0042,0.2743,0.382,0.4124,-2.1249,-1.1437,1.8383,671.648
0.0033,0.2738,0.3818,0.4123,-1.5641,-0.6289,2.2138,671.648
0.0025,0.2733,0.3815,0.4123,-1.073,-0.1774,2.5448,671.648
0.002,0.2732,0.3815,0.4123,-0.8807,-0.0003,2.6756,671.648
0.0015,0.2711,0.3804,0.412,-1.1066,-0.2077,2.5243,671.648
0.0012,0.2693,0.3795,0.4118,-1.7128,-0.765,2.1157,671.648
0.0009,0.2678,0.3787,0.4117,-2.1595,-1.1759,1.8136,671.648
0.0007,0.2643,0.3769,0.4113,-2.3972,-1.3948,1.652,671.648
0.0006,0.2637,0.3766,0.4112,-2.1297,-1.1495,1.8301,671.648
0.0004,0.2629,0.3762,0.4112,-1.0919,-0.1954,2.5297,671.648
0.0003,0.2573,0.3733,0.4105,-0.4303,0.4133,2.9775,671.648
0.0003,0.2568,0.373,0.4105,-0.2528,0.5765,3.0972,671.648
0.0002,0.2563,0.3728,0.4104,0.1813,0.9756,3.3898,671.648
0.0002,0.2517,0.3704,0.4099,0.2137,1.0054,3.4116,671.648
0.0001,0.246,0.3674,0.4093,0.4668,1.2377,3.5811,671.648
0.0001,0.3277,0.3672,0.4093,1.0114,1.7378,3.9463,703.782
0.0001,0.3308,0.4156,0.4135,2.0136,2.659,4.6213,674.283
0.0001,0.3257,0.414,0.4132,2.5298,3.134,4.9706,679.61
0.0,0.3333,0.4169,0.4428,2.8389,3.4182,5.1793,612.509
0.0,0.3332,0.4167,0.4428,3.2726,3.8188,5.4784,612.861
0.0,0.3299,0.4151,0.4424,3.2473,3.7976,5.4689,613.025
