Date,Tileflowmm,VWC_10cm,VWC_20cm,VWC_50cm,TMP_10cm,TMP_20cm,TMP_50cm,wattbl distance from soil surface (mm),TilePg/ha,SurPg/ha,TileNo3kg/ha,SurNo3kg/ha
3/2/2021,1.398,0.325,0.43,0.471,1.996453901,2.601851852,3.096064815,,0.1815,0,0.1207,0
3/3/2021,0.9566,0.326,0.428,0.464,3.075231481,2.547453704,2.998842593,,0.1147,0,0.0814,0
3/4/2021,0.5757,0.328,0.429,0.463,2.59837963,2.961805556,3.157407407,,0.0626,0,0.0476,0
3/5/2021,0.4742,0.317,0.426,0.458,2.054398148,2.273148148,3.144675926,,0.0476,0,0.0382,0
3/6/2021,0.3948,0.32,0.425,0.46,2.604166667,2.403935185,3.038194444,,0.0395,0,0.0313,0
3/7/2021,0.2978,0.317,0.424,0.458,2.763888889,2.55787037,3.0625,,0.1232,0,0.0206,0
3/8/2021,0.3051,0.315,0.42,0.456,3.320601852,2.751157407,3.087470449,,0.4872,0,0.0107,0
3/9/2021,0.2617,0.319,0.428,0.455,5.84837963,4.403935185,3.366898148,,0.5493,0,0.0052,0
3/10/2021,0.3112,0.315,0.422,0.458,6.365740741,5.158564815,3.969907407,,0.3034,0,0.0156,0
3/11/2021,0.2919,0.321,0.429,0.459,9.115740741,7.030092593,4.600694444,,0.0437,0,0.0211,0
3/12/2021,0.1359,0.312,0.429,0.459,7.832175926,7.141203704,5.392361111,,0.0141,0,0.01,0
3/13/2021,0.1541,0.307,0.429,0.459,6.857638889,6.475694444,5.673611111,,0.0146,0,0.0113,0
3/14/2021,0.1642,0.305,0.425,0.459,6.702898551,6.268115942,5.685990338,,0.0136,0,0.0122,0
3/15/2021,0.1962,0.3,0.423,0.457,4.068287037,5.194444444,5.668981481,,0.0154,0,0.0147,0
3/16/2021,0.279,0.3,0.42,0.455,5.028935185,4.688657407,5.255787037,,0.0257,0,0.021,0
3/17/2021,0.1882,0.296,0.418,0.452,5.878472222,5.289351852,5.229166667,,0.0747,0,0.0142,0
3/18/2021,4.3225,0.302,0.421,0.455,5.819444444,6.024305556,5.490740741,,1.1607,0,0.349,0
3/19/2021,2.6845,0.364,0.442,0.518,3.978009259,4.388888889,5.386574074,,0.5116,0,0.2184,0
3/20/2021,1.1042,0.343,0.435,0.469,4.69212963,4.362268519,5.032407407,,0.076,0,0.0902,0
3/21/2021,0.8209,0.338,0.431,0.465,5.87962963,5.207175926,5.05787037,,0.0493,0,0.0646,0
3/22/2021,0.6981,0.332,0.433,0.462,7.150462963,6.085648148,5.321759259,,0.0475,0,0.0527,0
3/23/2021,0.6346,0.327,0.433,0.463,8.049768519,6.993055556,5.753472222,,0.0412,0,0.047,0
3/24/2021,0.6029,0.326,0.433,0.462,10.69675926,8.59837963,6.296296296,,0.0369,0,0.0442,0
3/25/2021,0.51,0.319,0.426,0.463,10.12865497,9.089181287,7.00877193,,0.0333,0,0.0379,0
3/26/2021,0.4803,0.372,0.45,0.466,10.64814815,9.650462963,7.583333333,,0.1338,0,0.0357,0
3/27/2021,0.4062,0.355,0.444,0.471,11.08796296,9.259259259,7.949074074,,1.0545,0,0.0266,0
3/28/2021,0.4353,0.371,0.45,0.469,9.311111111,9.483333333,8.216666667,,1.8551,0,0.0256,0
3/29/2021,0.1992,0.346,0.438,0.471,8.121212121,7.103535354,7.914141414,,0.4972,0,0.013,0
3/30/2021,0.324,0.339,0.436,0.471,9.169082126,7.6352657,7.644927536,,0.1942,0,0.0232,0
3/31/2021,0.1952,0.331,0.439,0.471,10.80246914,9.351851852,7.895061728,,0.0397,0,0.0137,0
4/1/2021,0.0855,0.319,0.434,0.466,5.729468599,6.949275362,7.97826087,,0.0067,0,0.0057,0
4/2/2021,0.0622,0.311,0.425,0.463,7.513071895,5.562091503,7.147058824,,0.0031,0,0.0041,0
4/3/2021,0.1427,0.311,0.425,0.463,7.403703704,5.877777778,6.755555556,,0.0072,0,0.0094,0
4/4/2021,0.1243,0.306,0.425,0.463,11.94444444,7.934343434,6.707070707,,0.0066,0,0.0083,0
4/5/2021,0.1954,0.297,0.432,0.444,10.20833333,8.666666667,7.438888889,,0.0111,0,0.0132,0
4/6/2021,0.1888,0.288,0.428,0.463,13.37606838,10.26923077,7.904761905,,0.0113,0,0.0129,0
4/7/2021,0.1972,0.268,0.424,0.47,15.18803419,11.88461538,8.713675214,,0.0125,0,0.0137,0
4/8/2021,0.3077,0.259,0.422,0.465,14.00277778,12.23333333,9.502923977,,0.0206,0,0.0218,0
4/9/2021,0.1998,0.247,0.415,0.465,14.31313131,12.34343434,9.994949495,,0.014,0,0.0143,0
4/10/2021,0.3484,0.238,0.409,0.454,14.36904762,12.46031746,10.26190476,,0.0257,0,0.0254,0
4/11/2021,0.6872,0.343,0.409,0.456,12.44444444,12.23148148,10.61111111,,0.0529,0,0.0508,0
4/12/2021,0.4314,0.352,0.411,0.46,10.97619048,11.3015873,10.55555556,,0.0346,0,0.0323,0
4/13/2021,0.2196,,,,,,,,0.0184,0,0.0167,0
4/14/2021,0.2415,0.294,0.417,0.456,14.12301587,12.34126984,10.55555556,,0.0211,0,0.0186,0
4/15/2021,0.2458,0.283,0.407,,10.41358025,11.02380952,,,0.0202,0,0.0192,0
4/16/2021,0.1613,0.262,0.39,,10.421875,10.19369369,,,0.0081,0,0.0126,0
4/17/2021,0.1179,0.252,0.398,,10.82154882,10.41049383,,,0.005,0,0.0093,0
4/18/2021,0.0949,0.241,0.398,,11.58417508,10.625,,,0.0063,0,0.0076,0
4/19/2021,0.0983,0.236,0.398,,10.17901235,11.03703704,,,0.0105,0,0.0076,0
4/20/2021,0.0578,,,,,,,,0.0061,0,0.0046,0
4/21/2021,0.1361,,,,,,,,0.0149,0,0.0111,0
4/22/2021,0.1218,0.279,0.379,0.445,7.421455939,7.584291188,8.931034483,,0.0134,0,0.0099,0
4/23/2021,0.0785,0.252,0.38,0.445,8.13960114,7.896011396,8.555555556,,0.0086,0,0.0063,0
4/24/2021,0.1548,0.241,0.374,0.44,8.186186186,8.250750751,8.506006006,,0.017,0,0.0122,0
4/25/2021,0.1576,0.239,0.378,0.442,9.766081871,8.885964912,8.56006006,,0.0172,0,0.0122,0
4/26/2021,0.084,0.227,0.373,0.441,11.5491453,9.88,8.76,,0.0082,0,0.0061,0
4/27/2021,0.0753,0.211,0.364,0.437,13.13596491,11.06871345,9.122807018,,0.0067,0,0.0053,0
4/28/2021,0.0417,0.205,0.358,0.437,14.5015015,12.61261261,9.816816817,,0.0067,0,0.0028,0
4/29/2021,0.1667,0.197,0.365,0.439,14.62134503,13.39912281,10.62426901,,0.0669,0,0.0115,0
4/30/2021,0.1124,0.318,0.355,0.435,12.94894895,12.48498498,10.98648649,,0.0531,0,0.0079,0
5/1/2021,0.1001,0.292,0.356,0.43,11.57017544,11.46345029,10.90350877,,0.0228,0,0.0074,0
5/2/2021,0.077,0.257,0.358,0.437,14.3963964,12.53003003,10.82132132,,0.0081,0,0.0058,0
5/3/2021,0.0805,0.241,0.356,0.433,14.41291291,13.39339339,11.23611111,,0.0075,0,0.0062,0
5/4/2021,0.0874,0.33,0.365,0.437,15.43589744,14.02350427,11.64316239,,0.0081,0,0.0068,0
5/5/2021,0.0374,0.317,0.379,0.433,13.98538012,13.5975976,11.95795796,,0.0037,0,0.003,0
5/6/2021,0.0337,0.298,0.37,0.432,11.7997076,12.19736842,11.86403509,,0.0034,0,0.0031,0
5/7/2021,0.043,0.304,0.38,0.432,12.67117117,12.11561562,11.54204204,,0.0045,0,0.0044,0
5/8/2021,0.0168,0.317,0.38,0.429,11.98048048,11.89489489,11.42642643,,0.0018,0,0.0019,0
5/9/2021,6.4228,0.316,0.387,0.431,9.486486486,10.63063063,11.22072072,,0.6882,3.0586,0.822,0.636
5/10/2021,5.6095,0.354,0.445,0.478,9.465465465,9.265765766,10.46246246,,0.6077,0,0.7642,0
5/11/2021,1.9,0.335,0.428,0.473,11.40204678,10.70175439,10.33918129,,0.2087,0,0.2743,0
5/12/2021,0.9611,0.315,0.432,0.467,11.29824561,10.80409357,10.44005848,,0.1057,0,0.1262,0
5/13/2021,0.657,0.287,0.424,0.464,11.88888889,11.1505848,10.4984985,,0.3246,0,0.071,0
5/14/2021,0.5428,0.266,0.413,0.461,12.86695906,11.80409357,10.70321637,,1.3803,0,0.0288,0
5/15/2021,0.4681,0.246,0.409,0.459,13.23423423,12.19290123,10.93209877,,1.8615,0,0.0067,0
5/16/2021,0.4097,0.231,0.398,0.454,14.8974359,13.29202279,11.27350427,,0.8644,0,0.0234,0
5/17/2021,0.3571,0.219,0.39,0.456,15.1036036,13.83633634,11.71321321,,0.1021,0,0.0355,0
5/18/2021,0.3051,0.209,0.382,0.454,15.94444444,14.22072072,12.10660661,,0.0305,0,0.0312,0
5/19/2021,0.2789,0.198,0.377,0.451,17.1980057,15.29202279,12.49415205,,0.0279,0,0.0281,0
5/20/2021,0.243,0.19,0.372,0.449,18.12280702,16.14912281,13.06140351,,0.0243,0,0.0241,0
5/21/2021,0.1975,0.18,0.359,0.449,18.77627628,16.77477477,13.55255255,,0.0197,0,0.0192,0
5/22/2021,0.2448,0.171,0.353,0.445,18.56725146,17.04054054,14.04954955,,0.0245,0,0.0236,0
5/23/2021,0.2653,0.173,0.351,0.434,19.56456456,17.48648649,14.38588589,,0.0265,0,0.0253,0
5/24/2021,0.2175,0.176,0.345,0.435,19.96491228,18.21783626,14.85087719,,0.0218,0,0.0201,0
5/25/2021,0.2113,0.17,0.345,0.435,20.16081871,18.38011696,15.24122807,,0.0211,0,0.019,0
5/26/2021,0.1797,0.168,0.34,0.429,19.65935673,18.40643275,15.53153153,,0.018,0,0.016,0
5/27/2021,0.1189,0.166,0.34,0.425,18.57602339,17.74122807,15.64473684,,0.0117,0,0.0105,0
5/28/2021,0.1974,0.164,0.341,0.421,15.375,16.22993827,15.4845679,,0.0187,0,0.0176,0
5/29/2021,0.0661,0.162,0.327,0.417,12.5997151,13.74501425,14.71509972,,0.0061,0,0.0059,0
5/30/2021,0.0375,0.16,0.33,0.411,13.40540541,13.25525526,13.84084084,,0.0038,0,0.0032,0
5/31/2021,0.039,0.162,0.331,0.4,14.01801802,13.65465465,13.51801802,,0.0042,0,0.0034,0
6/1/2021,0.0573,0.163,0.334,0.401,15.09401709,14.42022792,13.56267806,,0.006,0,0.0055,0
6/2/2021,0.5601,0.161,0.333,0.397,15.40789474,14.82748538,13.69152047,,0.056,0,0.0596,0
6/3/2021,1.4562,0.32,0.341,0.399,16.59502924,15.45045045,13.8993994,,0.1456,0,0.1593,0
6/4/2021,0.6473,0.297,0.346,0.397,18,16.40789474,14.26169591,,0.0653,0,0.0733,0
6/5/2021,0.4873,0.255,0.35,0.399,19.07098765,17.3904321,14.74691358,,0.0514,0,0.0523,0
6/6/2021,0.407,0.222,0.348,0.398,19.83625731,18.12280702,15.24853801,,0.0446,0,0.0415,0
6/7/2021,0.3714,0.207,0.346,0.395,20.7008547,18.92592593,15.77631579,,0.0409,0,0.0379,0
6/8/2021,0.3108,0.197,0.346,0.396,20.76876877,19.26576577,16.25675676,,0.0342,0,0.0315,0
6/9/2021,0.2671,0.197,0.346,0.394,21.34356725,19.67105263,16.64473684,,0.0294,0,0.0261,0
6/10/2021,0.2899,0.189,0.354,0.392,21.40690691,19.93093093,16.96759259,,0.0323,0,0.026,0
6/11/2021,0.2593,0.18,0.352,0.392,21.5877193,20.16081871,17.25,,0.0301,0,0.0192,0
6/12/2021,0.1815,0.171,0.344,0.389,22.1981982,20.52252252,17.47747748,,0.0218,0,0.0121,0
6/13/2021,0.1457,0.162,0.347,0.387,22.71759259,20.97993827,17.80401235,,0.0175,0,0.0119,0
6/14/2021,0.1365,0.154,0.335,0.381,21.21794872,20.39766082,18.0380117,,0.0162,0,0.0126,0
6/15/2021,0.078,0.147,0.337,0.381,20.13963964,19.62762763,17.95795796,,0.0089,0,0.007,0
6/16/2021,0.0644,0.137,0.326,0.375,18.70833333,18.59876543,17.64351852,,0.0072,0,0.0056,0
6/17/2021,0.0694,0.136,0.325,0.374,19.1951952,18.42192192,17.3018018,,0.0081,0,0.0059,0
6/18/2021,0.1991,0.142,0.335,0.372,19.14126984,18.68253968,17.32380952,,0.0224,0,0.0167,0
6/19/2021,0.0968,0.142,0.324,0.371,20.48684211,19.17982456,17.3245614,,0.0092,0,0.008,0
6/20/2021,0.072,0.15,0.338,0.373,21.76353276,20.13888889,17.55263158,,0.0061,0,0.0059,0
6/21/2021,0.0524,0.154,0.337,0.373,21.75154321,20.72222222,18.05401235,,0.005,0,0.0042,0
6/22/2021,0.0171,0.15,0.335,0.372,19.07017544,19.28508772,18.13011696,,0.0016,0,0.0014,0
6/23/2021,0.0113,0.142,0.33,0.365,17.71921922,17.92342342,17.6558642,,0.001,0,0.001,0
6/24/2021,0.0119,0.145,0.33,0.368,18.74786325,18.13675214,17.26495726,,0.0011,0,0.001,0
6/25/2021,0.0123,0.139,0.326,0.367,19.76126126,18.94594595,17.34234234,,0.0011,0,0.001,0
6/26/2021,0.0111,0.147,0.33,0.367,21.17267267,19.67267267,17.53603604,,0.0011,0,0.0009,0
6/27/2021,0.0098,0.145,0.334,0.367,22.002849,20.52279202,17.9371345,,0.001,0,0.0008,0
6/28/2021,0.0071,0.15,0.34,0.363,23.06140351,21.29678363,18.35818713,,0.0007,0,0.0006,0
6/29/2021,0.0073,0.153,0.336,0.365,23.83183183,22.11111111,18.87387387,,0.0007,0,0.0006,0
6/30/2021,0.008,0.154,0.341,0.365,22.99853801,22.13450292,19.33783784,,0.0008,0,0.0006,0
7/1/2021,0.0081,0.155,0.335,0.368,22.44144144,21.62762763,19.48198198,,0.0008,0,0.0006,0
7/2/2021,0.0066,0.147,0.336,0.365,20.51023392,20.66959064,19.39181287,,0.0006,0,0.0005,0
7/3/2021,0.0059,0.143,0.329,0.365,19.55128205,19.57309942,18.93128655,,0.0005,0,0.0004,0
7/4/2021,0.0042,0.144,0.327,0.364,21.5015015,20.17267267,18.70720721,,0.0004,0,0.0003,0
7/5/2021,0.0013,0.144,0.336,0.36,23.14619883,21.52046784,18.92251462,,0.0001,0,0.0001,0
7/6/2021,0,0.143,0.331,0.363,23.61711712,22.11574074,19.33950617,,0,0,0,0
7/7/2021,0,0.145,0.336,0.361,22.97293447,22.17663818,19.6965812,,0,0,0,0
7/8/2021,0,0.143,0.329,0.358,22.86486486,21.9024024,19.73423423,,0,0,0,0
7/9/2021,0,0.139,0.331,0.363,21.78228228,21.51801802,19.81681682,,0,0,0,0
7/10/2021,0,0.138,0.328,0.365,20.0014245,20.24501425,19.5497076,,0,0,0,0
7/11/2021,0,0.142,0.331,0.362,20.65497076,20.07017544,19.19883041,,0,0,0,0
7/12/2021,0,0.153,0.321,0.357,21.45045045,20.62762763,19.11711712,,0,0,0,0
7/13/2021,0,0.162,0.334,0.362,22.14564565,21.23123123,19.2957958,,0,0,0,0
7/14/2021,0,0.274,0.335,0.362,22.50154321,21.47067901,19.49074074,,0,0,0,0
7/15/2021,0.0024,0.243,0.337,0.36,22.75877193,21.84356725,19.70175439,,0.0003,0,0.0002,0
7/16/2021,0.0371,0.309,0.335,0.363,22.6025641,21.96783626,19.90789474,,0.0046,0,0.0035,0
7/17/2021,0.5693,0.327,0.469,0.364,22.45795796,21.96246246,20.14714715,,0.0539,0,0.0521,0
7/18/2021,0.0044,0.308,0.453,0.372,22.17982456,21.60672515,20.16812865,,0.0003,0,0.0004,0
7/19/2021,0.0034,0.295,0.437,0.382,21.93693694,21.46450617,20.12037037,,0.0004,0,0.0002,0
7/20/2021,0.0021,0.283,0.44,0.382,22.27350427,21.61823362,20.11111111,,0.0003,0,0.0001,0
7/21/2021,0,0.276,0.426,0.387,21.90990991,21.63063063,20.15615616,,0,0,0,0
7/22/2021,0,0.257,0.428,0.385,20.38138138,20.53153153,20.03153153,,0,0,0,0
7/23/2021,0,0.25,0.413,0.387,20.40598291,20.33048433,19.77923977,,0,0,0,0
7/24/2021,0,0.242,0.41,0.388,21.8377193,20.78070175,19.61842105,,0,0,0,0
7/25/2021,0,0.228,0.413,0.387,23.68918919,22.12312312,19.87537538,,0,0,0,0
7/26/2021,0,0.211,0.408,0.389,23.32309942,22.38438438,20.27027027,,0,0,0,0
7/27/2021,0,0.2,0.397,0.385,22.60660661,22.07057057,20.503003,,0,0,0,0
7/28/2021,0,0.192,0.389,0.385,22.95906433,22.18859649,20.50438596,,0,0,0,0
7/29/2021,0,0.185,0.385,0.382,23.80701754,22.74707602,20.62719298,,0,0,0,0
7/30/2021,0,0.183,0.377,0.383,23.39912281,22.81531532,20.87837838,,0,0,0,0
7/31/2021,0,0.181,0.367,0.386,21.86988304,21.91374269,20.85380117,,0,0,0,0
8/1/2021,0,0.172,0.354,0.383,20.93518519,21.08641975,20.58641975,,0,0,0,0
8/2/2021,0,0.162,0.354,0.381,20.32193732,20.51424501,20.26353276,,0,0,0,0
8/3/2021,0,0.162,0.334,0.38,19.81081081,19.92492492,19.89814815,,0,0,0,0
8/4/2021,0,0.155,0.336,0.376,19.93993994,19.73123123,19.62012012,,0,0,0,0
8/5/2021,0,0.149,0.338,0.372,20.28062678,19.88157895,19.41374269,,0,0,0,0
8/6/2021,0,0.147,0.33,0.37,21.35585586,20.44594595,19.39189189,,0,0,0,0
8/7/2021,0,0.146,0.334,0.365,21.48948949,20.84234234,19.56006006,,0,0,0,0
8/8/2021,0,0.257,0.332,0.367,22.15789474,21.16666667,19.72072072,,0,0,0,0
8/9/2021,0,0.226,0.329,0.369,22.38425926,21.70987654,20,,0,0,0,0
8/10/2021,0,0.204,0.34,0.369,23.2022792,22.06695157,20.1980057,,0,0,0,0
8/11/2021,0,0.199,0.338,0.369,23.64619883,22.74707602,20.52631579,,0,0,0,0
8/12/2021,0,0.202,0.341,0.367,23.95045045,22.8018018,20.68618619,,0,0,0,0
8/13/2021,0,0.185,0.33,0.368,24.03508772,23.16374269,21.04504505,,0,0,0,0
8/14/2021,0,0.171,0.34,0.367,23.13963964,22.78678679,21.12912913,,0,0,0,0
8/15/2021,0,0.162,0.33,0.365,20.55698006,21.18945869,20.93874644,,0,0,0,0
8/16/2021,0,0.156,0.332,0.364,21.07657658,20.8993994,20.43843844,,0,0,0,0
8/17/2021,0,0.155,0.328,0.363,21.9845679,21.2962963,20.2962963,,0,0,0,0
8/18/2021,0,0.149,0.332,0.365,22.94152047,21.86403509,20.36403509,,0,0,0,0
8/19/2021,0,0.141,0.334,0.361,22.92105263,22.1021021,20.54504505,,0,0,0,0
8/20/2021,0,0.144,0.324,0.356,23.04532164,22.22953216,20.67251462,,0,0,0,0
8/21/2021,0,0.144,0.316,0.357,22.97747748,22.16666667,20.71471471,,0,0,0,0
8/22/2021,0,0.134,0.326,0.359,23.53753754,22.43843844,20.77027027,,0,0,0,0
8/23/2021,0,0.14,0.324,0.356,24.24643875,22.99287749,20.93567251,,0,0,0,0
8/24/2021,0,0.126,0.324,0.353,24.13888889,22.98684211,21.11403509,,0,0,0,0
8/25/2021,0,0.133,0.326,0.354,24.77027027,23.58108108,21.3003003,,0,0,0,0
8/26/2021,0,0.128,0.32,0.352,24.94444444,23.6021021,21.52402402,,0,0,0,0
8/27/2021,0,0.125,0.311,0.349,24.74624625,23.71321321,21.7042042,,0,0,0,0
8/28/2021,0,0.207,0.322,0.352,24.44301994,23.63247863,21.77920228,,0,0,0,0
8/29/2021,0,0.176,0.323,0.352,24.67717718,23.72072072,21.92042042,,0,0,0,0
8/30/2021,0,0.165,0.323,0.349,24.1006006,23.59104938,21.95061728,,0,0,0,0
8/31/2021,0,0.16,0.321,0.352,23.40540541,23.1951952,21.92042042,,0,0,0,0
9/1/2021,0,0.154,0.312,0.351,22.12719298,22.31432749,21.66374269,,0,0,0,0
9/2/2021,0,0.146,0.312,0.349,20.35964912,20.95614035,21.22076023,,0,0,0,0
9/3/2021,0,0.127,0.311,0.341,19.57357357,19.97297297,20.60960961,,0,0,0,0
9/4/2021,0,0.138,0.309,0.343,20.4691358,20.25,20.2191358,,0,0,0,0
9/5/2021,0,0.14,0.307,0.346,21.47660819,20.77777778,20.11842105,,0,0,0,0
9/6/2021,0,0.135,0.317,0.343,20.58040936,20.41141141,20.11411411,,0,0,0,0
9/7/2021,0,0.129,0.308,0.34,20.37837838,20.23273273,19.98348348,,0,0,0,0
9/8/2021,0,0.131,0.313,0.338,21.48948949,20.85435435,19.91291291,,0,0,0,0
9/9/2021,0,0.119,0.301,0.338,19.60087719,19.92836257,19.92836257,,0,0,0,0
9/10/2021,0,0.12,0.301,0.339,18.58262108,18.86894587,19.48976608,,0,0,0,0
9/11/2021,0,0.112,0.301,0.329,18.87087087,18.7027027,19.06906907,,0,0,0,0
9/12/2021,0,0.119,0.305,0.333,21.28678679,20.12012012,19.04354354,,0,0,0,0
9/13/2021,0,0.116,0.307,0.33,22.38450292,21.1622807,19.51651652,,0,0,0,0
9/14/2021,0,0.114,0.305,0.333,22.90350877,21.72807018,19.91520468,,0,0,0,0
9/15/2021,0,0.117,0.305,0.328,21.83040936,21.6374269,20.26461988,,0,0,0,0
9/16/2021,0,0.119,0.3,0.327,19.98948949,20.04804805,20.003003,,0,0,0,0
9/17/2021,0,0.125,0.297,0.331,20.46491228,20.08333333,19.63304094,,0,0,0,0
9/18/2021,0,0.115,0.3,0.328,20.98538012,20.38304094,19.59064327,,0,0,0,0
9/19/2021,0,0.12,0.302,0.33,20.95645646,20.37987988,19.62162162,,0,0,0,0
9/20/2021,0,0.115,0.297,0.328,20.84795322,20.58040936,19.72368421,,0,0,0,0
9/21/2021,0,0.12,0.303,0.328,20.5497076,20.41812865,19.74924925,,0,0,0,0
9/22/2021,0,0.119,0.301,0.328,18.0877193,19.28216374,19.61842105,,0,0,0,0
9/23/2021,0,0.299,0.311,0.329,14.95726496,16.64912281,18.81725146,,0,0,0,0
9/24/2021,0,0.279,0.422,0.326,15.5960961,16.00900901,17.85435435,,0,0,0,0
9/25/2021,0,0.266,0.427,0.324,16,16.43243243,17.45045045,,0,0,0,0
9/26/2021,0,0.242,0.418,0.328,15.57357357,16.03453453,17.22685185,,0,0,0,0
9/27/2021,0,0.205,0.407,0.326,17.26726727,16.70720721,17.03603604,,0,0,0,0
9/28/2021,0,0.181,0.387,0.328,18.44590643,17.8494152,17.28070175,,0,0,0,0
9/29/2021,0,0.158,0.383,0.329,16.36842105,16.86549708,17.44144144,,0,0,0,0
9/30/2021,0,0.157,0.381,0.326,15.63063063,16.17567568,17.16216216,,0,0,0,0
10/1/2021,0,0.145,0.37,0.327,15.10541311,15.6622807,16.80701754,,0,0,0,0
10/2/2021,0,0.14,0.365,0.328,15.33479532,15.45906433,16.48245614,,0,0,0,0
10/3/2021,0,0.144,0.352,0.328,18.06606607,17.01351351,16.50900901,,0,0,0,0
10/4/2021,0,0.145,0.358,0.332,18.26608187,17.66666667,16.9254386,,0,0,0,0
10/5/2021,0,0.144,0.361,0.327,18.05401235,17.62962963,17.1712963,,0,0,0,0
10/6/2021,0,0.144,0.358,0.329,18.62250712,18.06695157,17.31196581,,0,0,0,0
10/7/2021,0,0.145,0.353,0.333,19.02192982,18.39912281,17.52252252,,0,0,0,0
10/8/2021,0,0.146,0.357,0.331,19.35735736,18.68618619,17.70720721,,0,0,0,0
10/9/2021,0,0.143,0.351,0.334,18.53133903,18.44005848,17.86549708,,0,0,0,0
10/10/2021,0,0.141,0.347,0.332,19.13011696,18.52192982,17.82894737,,0,0,0,0
10/11/2021,0,0.138,0.346,0.33,19.3048048,18.83633634,18.01801802,,0,0,0,0
10/12/2021,0,0.134,0.34,0.332,19.24707602,18.96783626,18.12912913,,0,0,0,0
10/13/2021,0,0.133,0.326,0.334,17.85285285,18.1021021,18.13963964,,0,0,0,0
10/14/2021,0,0.127,0.327,0.328,19.2119883,18.47807018,17.89766082,,0,0,0,0
10/15/2021,0,0.127,0.329,0.334,19.46438746,19.01023392,18.12573099,,0,0,0,0
10/16/2021,0,0.124,0.326,0.333,16.71321321,17.84384384,18.13663664,,0,0,0,0
10/17/2021,0,0.123,0.314,0.331,14.13532764,15.65350877,17.47807018,,0,0,0,0
10/18/2021,0,0.12,0.306,0.329,13.46096096,14.60960961,16.66666667,,0,0,0,0
10/19/2021,0,0.12,0.312,0.327,13.22934473,14.14619883,16.05701754,,0,0,0,0
10/20/2021,0,0.118,0.306,0.327,13.74561404,14.21491228,15.65789474,,0,0,0,0
10/21/2021,0,0.118,0.304,0.326,14.53549383,14.75771605,15.49691358,,0,0,0,0
10/22/2021,0,0.116,0.307,0.324,12.94894895,14.08708709,15.45045045,,0,0,0,0
10/23/2021,0,0.117,0.303,0.323,12.24774775,13.26576577,15.12012012,,0,0,0,0
10/24/2021,0,0.117,0.301,0.321,11.63888889,12.7119883,14.67105263,,0,0,0,0
10/25/2021,0,0.3,0.398,0.326,13.06552707,13.26068376,14.4017094,,0,0,0,0
10/26/2021,0,0.284,0.427,0.327,11.75225225,12.78978979,14.36336336,,0,0,0,0
10/27/2021,0,0.276,0.424,0.325,9.815315315,11.36336336,13.9058642,,0,0,0,0
10/28/2021,0,0.27,0.413,0.326,11.76780627,11.83618234,13.43304843,,0,0,0,0
10/29/2021,0,0.319,0.434,0.324,12.86786787,12.84084084,13.48919753,,0,0,0,0
10/30/2021,0,0.309,0.443,0.331,12.32748538,12.78362573,13.63304094,,0,0,0,0
10/31/2021,0,0.297,0.434,0.353,12.0975976,12.54204204,13.57098765,,0,0,0,0
11/1/2021,0,0.285,0.431,0.374,10.19736842,11.6754386,13.45906433,,0,0,0,0
11/2/2021,0,0.263,0.424,0.379,8.391812865,10.2880117,12.92982456,,0,0,0,0
11/3/2021,0,0.269,0.418,0.376,6.762345679,8.896604938,12.23174603,,0,0,0,0
11/4/2021,0,0.264,0.416,0.382,6.490740741,8.200617284,11.5154321,,0,0,0,0
11/5/2021,0,0.257,0.411,0.379,5.112573099,7.206140351,10.91081871,,0,0,0,0
11/6/2021,0,0.247,0.4,0.377,4.782282282,6.534534535,10.21771772,,0,0,0,0
11/7/2021,0,0.242,0.408,0.382,5.831871345,6.788011696,9.738304094,,0,0,0,0
11/8/2021,0,0.248,0.406,0.38,7.596491228,7.773391813,9.621621622,,0,0,0,0
11/9/2021,0,0.239,0.409,0.378,9.004901961,8.919934641,9.887254902,,0,0,0,0
11/10/2021,0,0.234,0.404,0.386,8.956140351,9.233918129,10.18128655,,0,0,0,0
11/11/2021,0,0.229,0.405,0.382,10.10964912,9.837837838,10.41141141,,0,0,0,0
11/12/2021,0,0.282,0.402,0.386,8.548048048,9.60960961,10.70870871,,0,0,0,0
11/13/2021,0,0.269,0.406,0.387,6.4002849,8.176638177,10.48391813,,0,0,0,0
11/14/2021,0,0.265,0.402,0.381,4.945987654,6.87654321,9.935185185,,0,0,0,0
11/15/2021,0,0.291,0.421,0.384,4.675675676,6.154320988,9.330246914,,0,0,0,0
11/16/2021,0,0.289,0.426,0.38,5.342342342,6.192192192,8.897897898,,0,0,0,0
11/17/2021,0,0.288,0.418,0.381,8.642642643,7.672672673,8.795795796,,0,0,0,0
11/18/2021,0.0289,0.296,0.435,0.385,8.312865497,8.978070175,9.33625731,,0.0305,0,0.0025,0
11/19/2021,0.0137,0.285,0.425,0.386,5.003003003,6.867867868,9.355855856,,0.0135,0,0.0011,0
11/20/2021,0.0102,0.281,0.424,0.386,3.966966967,5.708708709,8.785285285,,0.0055,0,0.0008,0
11/21/2021,0.0089,0.277,0.409,0.385,4.66984127,5.615873016,8.271428571,,0.0018,0,0.0007,0
11/22/2021,0.0045,0.292,0.421,0.385,4.348348348,5.726726727,8.067567568,,0.0007,0,0.0004,0
11/23/2021,0.0025,0.284,0.422,0.386,2.713450292,4.554093567,7.730994152,,0.0003,0,0.0002,0
