0,1,2,3,4,5,6,7
0.0,0.3276,0.4141,0.3748,1.4972,2.1545,4.1668,920.204
0.0,0.3251,0.4127,0.3746,1.5165,2.1739,4.1859,924.876
0.0,0.3335,0.417,0.3842,1.8603,2.4921,4.4252,890.806
0.0,0.3334,0.417,0.3844,2.0219,2.643,4.5425,890.488
0.0,0.3319,0.4162,0.3842,1.7984,2.4387,4.396,891.175
0.0,0.329,0.4149,0.3839,1.6517,2.3047,4.3003,893.999
0.0,0.3266,0.4136,0.3837,1.4264,2.0979,4.1496,898.985
0.0,0.3239,0.412,0.3835,1.2701,1.9543,4.0448,903.241
0.0,0.3239,0.412,0.3835,0.6406,1.3744,3.616,907.898
0.0,0.3237,0.412,0.3835,0.44,1.1898,3.4799,907.898
0.0,0.3313,0.4159,0.416,1.3552,2.0341,4.1074,807.045
0.0,0.3317,0.4161,0.4161,1.6498,2.3081,4.3175,807.104
0.0,0.3305,0.4157,0.416,1.693,2.3503,4.3554,810.232
0.0,0.3302,0.4155,0.4159,1.6247,2.2893,4.3159,812.082
0.0,0.3299,0.4154,0.4159,1.6788,2.3406,4.3578,811.806
0.0,0.3282,0.4146,0.4157,1.8533,2.5023,4.4802,812.214
0.0,0.3268,0.414,0.4156,1.2877,1.9828,4.1005,814.836
0.4035,0.3268,0.414,0.4156,0.7188,1.46,3.7175,808.993
0.3142,0.3251,0.4131,0.4155,-0.0955,0.7112,3.1681,808.993
0.2447,0.3249,0.413,0.4154,-1.4502,-0.5335,2.2572,808.993
0.1906,0.3238,0.4124,0.4153,-2.2049,-1.2268,1.7506,808.993
0.1484,0.3227,0.4119,0.4152,-2.702,-1.6833,1.417,808.993
0.1156,0.3227,0.4119,0.4152,-2.9251,-1.8882,1.2676,808.993
0.09,0.3227,0.4119,0.4152,-2.3496,-1.3585,1.6578,808.993
0.0701,0.3227,0.4119,0.4152,-1.8027,-0.8545,2.0306,808.993
0.0546,0.3227,0.4119,0.4152,-1.5604,-0.6306,2.1982,808.993
0.0425,0.3221,0.4116,0.4151,-1.4622,-0.5393,2.2678,808.993
0.0331,0.3209,0.4109,0.415,-1.3357,-0.4223,2.3557,808.993
0.0258,0.3199,0.4104,0.4149,-1.2242,-0.3193,2.4327,808.993
0.0201,0.3177,0.4093,0.4147,-1.173,-0.2719,2.4683,808.993
0.0156,0.317,0.409,0.4146,-1.1272,-0.2297,2.4995,808.993
0.0122,0.3146,0.4077,0.4143,-1.0618,-0.1696,2.5437,808.993
0.0095,0.3138,0.4073,0.4142,-0.8899,-0.0116,2.6591,808.993
0.0074,0.3079,0.4041,0.4136,-0.4804,0.3647,2.935,808.993
0.0058,0.3079,0.4041,0.4136,-0.0225,0.7855,3.2427,808.993
